name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Ashton Jeanty";"null";"RB";"null";12612;"12527";"UNK";7372;8;3;88
"Omarion Hampton";"null";"RB";"null";12573;"12507";"UNK";4845;29;7;80
"Tetairoa McMillan";"null";"WR";"null";12635;"12526";"UNK";4711;32;15;55
"TreVeyon Henderson";"null";"RB";"null";12580;"12529";"UNK";4196;39;12;15
"Quinshon Judkins";"null";"RB";"null";12632;"12512";"UNK";3753;47;15;57
"Tyler Warren";"null";"TE";"null";12592;"12518";"UNK";3486;54;4;-35
"Luther Burden";"null";"WR";"null";12590;"12519";"UNK";3401;56;20;-44
"Kaleb Johnson";"null";"RB";"null";12598;"12504";"UNK";3280;61;19;-120
"Emeka Egbuka";"null";"WR";"null";12595;"12514";"UNK";3271;62;22;-22
"Travis Hunter";"null";"WR";"null";12617;"12530";"UNK";3121;68;27;62
"Colston Loveland";"null";"TE";"null";12578;"12517";"UNK";2653;90;7;-23
"Matthew Golden";"null";"WR";"null";12672;"12501";"UNK";2523;95;38;-41
"Cam Skattebo";"null";"RB";"null";12643;"12481";"UNK";2517;96;24;-31
"Tre Harris";"null";"WR";"null";12593;"12509";"UNK";2376;103;42;-75
"Cam Ward";"null";"QB";"null";12603;"12522";"UNK";2351;104;14;85
"Devin Neal";"null";"RB";"null";12618;"12476";"UNK";2327;106;27;-89
"Dylan Sampson";"null";"RB";"null";12638;"12469";"UNK";2182;119;30;-62
"Ollie Gordon";"null";"RB";"null";12616;"12495";"UNK";2177;121;31;-76
"Isaiah Bond";"null";"WR";"null";12655;"12503";"UNK";1870;149;53;-57
"Elic Ayomanor";"null";"WR";"null";12623;"12499";"UNK";1859;154;54;-14
"DJ Giddens";"null";"RB";"null";12656;"12471";"UNK";1780;162;46;-13
"Shedeur Sanders";"null";"QB";"null";12587;"12524";"UNK";1770;164;23;-36
"Jayden Higgins";"null";"WR";"null";12652;"12484";"UNK";1760;166;57;18
"RJ Harvey";"null";"RB";"null";12601;"12489";"UNK";1758;167;48;-41
"Bhayshul Tuten";"null";"RB";"null";12620;"12490";"UNK";1734;169;50;-2
"Jalen Royals";"null";"WR";"null";12671;"12505";"UNK";1650;181;60;-26
"Damien Martinez";"null";"RB";"null";12633;"12462";"UNK";1630;183;54;-5
"Xavier Restrepo";"null";"WR";"null";12649;"12520";"UNK";1581;189;63;-56
"Harold Fannin";"null";"TE";"null";12659;"12506";"UNK";1541;194;20;-56
"Elijah Arroyo";"null";"TE";"null";12650;"12521";"UNK";1492;202;22;-49
"Tez Johnson";"null";"WR";"null";12667;"12485";"UNK";1486;204;68;-51
"Jordan James";"null";"RB";"null";12657;"12467";"UNK";1433;212;60;-29
"Jack Bech";"null";"WR";"null";12626;"12483";"UNK";1391;218;74;-13
"Jaxson Dart";"null";"QB";"null";12609;"12508";"UNK";1288;229;28;18
"Mason Taylor";"null";"TE";"null";12642;"12498";"UNK";1281;231;27;-17
"Brashard Smith";"null";"RB";"null";12591;"12455";"UNK";1249;236;64;-9
"Jaydon Blue";"null";"RB";"null";12622;"12457";"UNK";1183;242;65;-8
"Jalen Milroe";"null";"QB";"null";12665;"12510";"UNK";1168;245;31;-40
"Savion Williams";"null";"WR";"null";12602;"12482";"UNK";1132;248;81;-8
"Raheim Sanders";"null";"RB";"null";12641;"12472";"UNK";1090;253;67;-7
"Gunnar Helm";"null";"TE";"null";12640;"12502";"UNK";1072;254;30;-7
"Woody Marks";"null";"RB";"null";12599;"12474";"UNK";1063;256;68;-7
"Terrance Ferguson";"null";"TE";"null";12596;"12487";"UNK";1037;260;33;-7
"Donovan Edwards";"null";"RB";"null";12670;"12515";"UNK";1014;264;69;-7
"Tory Horton";"null";"WR";"null";12637;"12497";"UNK";1005;267;89;-7
"Quinn Ewers";"null";"QB";"null";12648;"12500";"UNK";935;270;32;-47
"Tai Felton";"null";"WR";"null";12604;"12496";"UNK";916;275;91;-6
"Jarquez Hunter";"null";"RB";"null";11707;"11569";"UNK";857;277;72;-6
"Oronde Gadsden";"null";"TE";"null";12576;"12493";"UNK";851;280;36;-6
"Kalel Mullings";"null";"RB";"null";12658;"12516";"UNK";837;282;74;-5
"Jimmy Horn";"null";"WR";"null";12600;"12523";"UNK";798;284;92;-6
"Nick Nash";"null";"WR";"null";12621;"12478";"UNK";782;286;93;-5
"Dillon Gabriel";"null";"QB";"null";12646;"12486";"UNK";742;292;40;-10
"Pat Bryant";"null";"WR";"null";12634;"12492";"UNK";722;296;97;-4
"Will Howard";"null";"QB";"null";12619;"12511";"UNK";676;300;41;-5
"Ricky White";"null";"WR";"null";12582;"12475";"UNK";670;302;99;-4
