name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Ashton Jeanty";"null";"RB";"null";12612;"12527";"UNK";6052;18;3;245
"Tetairoa McMillan";"null";"WR";"null";12635;"12526";"UNK";4149;38;15;53
"Omarion Hampton";"null";"RB";"null";12573;"12507";"UNK";3948;42;8;185
"Cam Ward";"null";"QB";"null";12603;"12522";"UNK";3909;44;14;164
"TreVeyon Henderson";"null";"RB";"null";12580;"12529";"UNK";3489;56;11;129
"Tyler Warren";"null";"TE";"null";12592;"12518";"UNK";3367;59;4;-7
"Luther Burden";"null";"WR";"null";12590;"12519";"UNK";3054;68;20;-31
"Quinshon Judkins";"null";"RB";"null";12632;"12512";"UNK";3052;70;15;130
"Shedeur Sanders";"null";"QB";"null";12587;"12524";"UNK";3040;72;23;-47
"Travis Hunter";"null";"WR";"null";12617;"12530";"UNK";3024;73;22;210
"Emeka Egbuka";"null";"WR";"null";12595;"12514";"UNK";3011;74;23;84
"Kaleb Johnson";"null";"RB";"null";12598;"12504";"UNK";2784;87;19;-41
"Colston Loveland";"null";"TE";"null";12578;"12517";"UNK";2625;94;7;50
"Matthew Golden";"null";"WR";"null";12672;"12501";"UNK";2342;105;36;54
"Jaxson Dart";"null";"QB";"null";12609;"12508";"UNK";2240;111;28;124
"Tre Harris";"null";"WR";"null";12593;"12509";"UNK";2130;120;42;-118
"Cam Skattebo";"null";"RB";"null";12643;"12481";"UNK";2032;124;24;-23
"Jalen Milroe";"null";"QB";"null";12665;"12510";"UNK";1982;129;31;-51
"Devin Neal";"null";"RB";"null";12618;"12476";"UNK";1947;133;26;-40
"Ollie Gordon";"null";"RB";"null";12616;"12495";"UNK";1807;141;30;-35
"Dylan Sampson";"null";"RB";"null";12638;"12469";"UNK";1806;142;31;-18
"Elic Ayomanor";"null";"WR";"null";12623;"12499";"UNK";1681;157;52;-23
"Isaiah Bond";"null";"WR";"null";12655;"12503";"UNK";1666;160;54;-72
